schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
EVTDESC00126;Yet more controversy has arisen regarding the king of the Rhomaion state, as it has come to light that the king has long been engaged in an affair with a mistress, and has remained indiscreet with this affair, leading to a public breakup with his wife, Alexanda Petrovina of Oldenburg, and the discovery of multiple bastard sires in this affair. His hopes had been to ultimately divorce his own wife in favor of this mistress, but these hopes have been dashed in light of the affair being discovered and brought to the public, and the refusal of his wife to grant the divorce he seeks in order to remarry the mistress he sought. This has brought great humiliation to the state and to foreign dignitaries representing the kingdom.;;;;;;;;;;;;;
EVTNAME00127;Nicholas the Mad;;;;;;;;;;;;;
EVTDESC00127;In recent days, the behavior of the king has grown increasingly erratic, particularly following the death of his mistress, Catherine Chislova. His hopes to marry her have in recent months been dashed, as his wife, who long refused a divorce that would render this affair a potentially legal marriage, has now proven herself to outlive this very same mistress. Perhaps from grief, perhaps from a long hidden madness kept hidden from public, or perhaps from the oral cancer he suffers now having spread to his brain, the king has become a mad ruler, attacking the courtiers in his palace like a wild beast, spending far more lavishly than ever before, and growing ever more erratic on the daily. His rule has now become more disastrous than ever.;;;;;;;;;;;;;
EVTNAME00128;The Internment of Nicholas;;;;;;;;;;;;;
EVTDESC00128;As the madness of Nicholas has grown ever more apparent to the governing bodies of state, so too has the need to remove him from office become a necessity for the survival of the state. With his son, the presumptive heir in Nicholas the Younger, heading the movement to depose him, it would seem his rule has come to an inglorious end.;;;;;;;;;;;;;
EVTNAME00200;The Restoration of Etrutia;;;;;;;;;;;;;
EVTDESC00200;The Kingdom of Etruria was a short-lived kingdom in the Italian peninsula, created by Napoleon I as a form of compensation to the Spanish line of Bourbon-Parma, and ultimately dissolved in 1815. With our success in overturning this aspect of the congress of Vienna, the kingdom can be restored, securing further Bourbon gains in the Italian peninsula.;;;;;;;;;;;;;
EVTNAME00201;The Treaty of Milan;;;;;;;;;;;;;
EVTNAME00204;The Carlist War;;;;;;;;;;;;;
EVTNAME00205;French Intervention victorious;;;;;;;;;;;;;
EVTNAME00206;French Intervention defeated;;;;;;;;;;;;;
EVTNAME00208;Distributism in Cuba;;;;;;;;;;;;;
